"","x"
"1",3169
"2",51442
"3",25803
"4",7021
"5",9635
"6",253190
"7",2568
"8",367
"9",11168
"10",79083
"11",55521
"12",10473
"13",5304
"14",5613
"15",54490
"16",222
"17",1029
"18",3251
"19",54847
"20",2194
"21",10644
"22",9060
"23",2171
"24",2744
"25",10202
"26",200734
"27",3930
"28",81611
"29",23199
"30",467
"31",8564
"32",253782
"33",23708
"34",7494
"35",4071
"36",22928
"37",6566
"38",2824
"39",8540
"40",1718
"41",79596
"42",3854
"43",10200
"44",1831
"45",113
"46",214
"47",221061
"48",4782
"49",51444
"50",7447
"51",5562
"52",23475
"53",55503
"54",3081
"55",4281
"56",25984
"57",3843
"58",7298
"59",4609
"60",10916
"61",23030
"62",1528
"63",23677
"64",84617
"65",53335
"66",29902
"67",3945
"68",2582
"69",2184
"70",9865
"71",2872
"72",79070
"73",2954
"74",11254
"75",1534
"76",5445
"77",65992
"78",9126
"79",56650
"80",30968
"81",4603
"82",1846
"83",4893
"84",55082
"85",2037
"86",5002
"87",9655
"88",663
"89",9459
"90",444
"91",23228
"92",6632
"93",7108
"94",81031
"95",97
"96",79603
"97",9493
"98",6347
"99",11257
"100",375248
"101",28959
"102",2773
"103",65084
"104",11221
"105",54502
"106",5359
"107",54677
"108",9022
"109",5268
"110",4200
"111",80183
"112",3875
"113",51809
"114",9833
"115",80342
"116",29940
"117",55795
"118",10424
"119",3880
"120",7153
"121",1201
"122",23647
"123",4851
"124",5618
"125",7027
"126",858
"127",2961
"128",10426
"129",3832
"130",10140
"131",6001
"132",1384
"133",60487
"134",51765
"135",6663
"136",146909
"137",5829
"138",11326
"139",7905
"140",2123
"141",2172
"142",999
"143",7103
"144",400451
"145",4488
"146",92086
"147",10099
"148",1573
"149",8428
"150",6722
"151",3310
"152",55872
"153",10000
"154",9368
"155",23643
"156",79956
"157",83451
"158",1066
"159",11237
"160",23613
"161",10950
"162",51181
"163",80306
"164",54906
"165",10591
"166",8842
"167",5509
"168",1116
"169",65109
"170",29109
"171",9743
"172",9919
"173",55048
"174",9444
"175",22934
"176",27289
"177",81848
"178",2690
"179",23189
"180",54491
"181",7351
"182",9181
"183",5321
"184",11226
"185",6619
"186",79762
"187",22911
"188",65985
"189",9321
"190",22996
"191",79573
"192",57535
"193",10477
"194",2019
"195",1611
"196",6652
"197",2182
"198",80194
"199",26154
"200",27232
"201",699
"202",8527
"203",10449
"204",10551
"205",1730
"206",25797
"207",57162
"208",231
"209",7586
"210",7174
"211",9232
"212",10149
"213",55975
"214",79587
"215",8202
"216",10285
"217",10659
"218",51083
"219",2109
"220",929
"221",55268
"222",1244
"223",10133
"224",563
"225",10479
"226",56603
"227",257407
"228",23464
"229",9124
"230",6443
"231",5317
"232",54908
"233",839
"234",1287
"235",7272
"236",2296
"237",2091
"238",1728
"239",54432
"240",11059
"241",114885
"242",2263
"243",538
"244",4155
"245",25941
"246",171546
"247",638
"248",6275
"249",23432
"250",2305
"251",80321
"252",6782
"253",79837
"254",25963
"255",10362
"256",4277
"257",10492
"258",55152
"259",262
"260",9994
"261",10112
"262",2332
"263",9575
"264",57415
"265",25907
"266",64081
"267",6337
"268",8322
"269",5366
"270",57136
"271",8800
"272",6389
"273",55862
"274",54881
"275",55013
"276",7009
"277",1642
"278",8310
"279",10455
"280",54020
"281",93081
"282",247
"283",81539
"284",79962
"285",5213
"286",4751
"287",347
"288",9446
"289",50862
"290",5753
"291",597
"292",5066
"293",55704
"294",8534
"295",54979
"296",6624
"297",10483
"298",9837
"299",8503
"300",7342
"301",10635
"302",115123
"303",26278
"304",6197
"305",55556
"306",10915
"307",11094
"308",80021
"309",2012
"310",3069
"311",8660
"312",3815
"313",6194
"314",5520
"315",55165
"316",55144
"317",29015
"318",23483
"319",2215
"320",4329
